,sitc4,exporter,value,rca
25700,5989,Areas NES,39548,1.0582924510483243
25843,59AA,Areas NES,244,653.8788045645055
25847,59XX,Areas NES,118,58.74384440931923
25880,5XXX,Areas NES,736,93.89871279175864
25928,611,Areas NES,1102,2.4803647719695365
26015,6113,Areas NES,202,0.246152430282609
26092,6114,Areas NES,18272,1.7591299497582984
26200,6115,Areas NES,1206,0.8340176770009438
26424,611X,Areas NES,122,87.16890163659788
26579,6123,Areas NES,8670,1.9709289401547425
26723,612X,Areas NES,86,103.40377374355214
26735,6130,Areas NES,1230,1.1700998504450255
26934,61XX,Areas NES,116,138.35778208898574
27024,6210,Areas NES,8024,1.0728825235565231
27108,6251,Areas NES,3800,0.32223154491377776
27188,6252,Areas NES,2182,0.29363530692828976
27286,6254,Areas NES,590,0.8176981945113104
27331,6259,Areas NES,1184,0.2890145717724102
27425,625X,Areas NES,62,9.318363331541034
27501,6282,Areas NES,2746,1.2692559386442495
27559,6289,Areas NES,13080,1.3814656862185708
27648,628X,Areas NES,26,9.9683017342523
27680,62XX,Areas NES,224,66.30033177234056
27711,6330,Areas NES,650,0.5729369227136902
27760,6341,Areas NES,254,0.09947030926097239
27847,6342,Areas NES,988,0.13720780125204374
27940,6343,Areas NES,254,0.06254552095023594
28070,634A,Areas NES,262,212.71264236889482
28095,6351,Areas NES,1934,1.4347889897005768
28202,6353,Areas NES,2356,0.2909845360862093
28311,6354,Areas NES,1702,0.6780141494438054
28405,6359,Areas NES,480,0.14565605598334416
28497,635X,Areas NES,430,291.26404105152596
28519,63XX,Areas NES,184,266.0355000767891
28596,6412,Areas NES,652,0.032974549525927495
28749,6415,Areas NES,370,0.02107464901136296
28844,6416,Areas NES,1238,0.37512929899024344
28912,6417,Areas NES,2136,0.9870536282652799
28985,6418,Areas NES,14640,1.0640776312840035
29132,641X,Areas NES,200,7.7147406007064685
29162,6421,Areas NES,1540,0.18728855933473465
29316,6423,Areas NES,374,0.14786199210198264
29466,6428,Areas NES,208,0.021215118667456838
29570,642X,Areas NES,448,94.94196727065801
29602,64XX,Areas NES,216,256.16625018523285
29645,6512,Areas NES,1018,0.2722998030906797
29719,6513,Areas NES,872,0.12065776671552722
29820,6514,Areas NES,3282,0.2398608824155625
29948,6516,Areas NES,660,0.1752506046028713
30022,6517,Areas NES,1930,0.9080001952731018
30088,6519,Areas NES,864,0.33619274508644037
30176,651X,Areas NES,418,65.64415596478653
30208,6521,Areas NES,1360,0.381945734871446
30305,6522,Areas NES,39602,2.5637498104197616
30422,652X,Areas NES,118,14.705273185070467
30438,6531,Areas NES,9362,0.6876416096050598
30532,6532,Areas NES,1614,0.6746825336641775
30599,6534,Areas NES,14160,2.330508347916093
30685,6535,Areas NES,1836,0.9927796528695291
30751,6536,Areas NES,1452,1.4308449719761653
30816,6538,Areas NES,1980,1.0826217787778234
30942,653X,Areas NES,182,20.74422555303127
31027,6542,Areas NES,3986,1.4548264504946005
31090,6543,Areas NES,274,0.20268821191687214
31152,6544,Areas NES,980,0.8466507800542932
31336,654X,Areas NES,532,233.9037115953967
31364,6552,Areas NES,6016,0.48151930764604156
31467,6560,Areas NES,1870,0.37990014369862324
31606,6572,Areas NES,11878,2.6468621215596824
31674,6573,Areas NES,3902,0.4943435268847667
31753,6575,Areas NES,6228,4.3145472153700695
31861,6577,Areas NES,400,0.12840764144188227
32022,6581,Areas NES,390,0.3537956421218488
32111,6582,Areas NES,1678,1.6182012708124545
32180,6583,Areas NES,270,0.2752650742444117
32266,6584,Areas NES,2090,0.26076174099772775
32370,6589,Areas NES,1270,0.2459314263526633
